"competencia","data","ano","nivel","aprovada","distribuida","ocupada","vago","nivel_nome","taxa_vacancia"
201910,2019-10-01,2019,"NA",19766,19103,18802,964,"Nível de apoio",4.88
201910,2019-10-01,2019,"NI",300753,271974,197331,103422,"Nível intermediário",34.39
201910,2019-10-01,2019,"NM",2878,2529,2010,868,"Nível médio",30.16
201910,2019-10-01,2019,"NS",432331,377797,291388,140943,"Nível superior",32.6
201911,2019-11-01,2019,"NA",19650,18987,18680,970,"Nível de apoio",4.94
201911,2019-11-01,2019,"NI",300092,271020,195592,104500,"Nível intermediário",34.82
201911,2019-11-01,2019,"NM",2762,2413,1891,871,"Nível médio",31.54
201911,2019-11-01,2019,"NS",432348,377687,291138,141210,"Nível superior",32.66
201912,2019-12-01,2019,"NA",19575,18912,18600,975,"Nível de apoio",4.98
201912,2019-12-01,2019,"NI",299661,270601,194498,105163,"Nível intermediário",35.09
201912,2019-12-01,2019,"NM",2747,2398,1878,869,"Nível médio",31.63
201912,2019-12-01,2019,"NS",432314,377751,291577,140737,"Nível superior",32.55
202001,2020-01-01,2020,"NA",19520,18853,18538,982,"Nível de apoio",5.03
202001,2020-01-01,2020,"NI",299251,270286,193673,105578,"Nível intermediário",35.28
202001,2020-01-01,2020,"NM",2718,2370,1844,874,"Nível médio",32.16
202001,2020-01-01,2020,"NS",432274,375803,292930,139344,"Nível superior",32.24
202002,2020-02-01,2020,"NA",19451,18787,18463,988,"Nível de apoio",5.08
202002,2020-02-01,2020,"NI",298818,269915,192709,106109,"Nível intermediário",35.51
202002,2020-02-01,2020,"NM",2702,2351,1824,878,"Nível médio",32.49
202002,2020-02-01,2020,"NS",432091,375896,293097,138994,"Nível superior",32.17
202003,2020-03-01,2020,"NA",18698,18634,18348,350,"Nível de apoio",1.87
202003,2020-03-01,2020,"NI",287628,259655,191209,96419,"Nível intermediário",33.52
202003,2020-03-01,2020,"NM",2426,2346,1822,604,"Nível médio",24.9
202003,2020-03-01,2020,"NS",428624,373208,292399,136225,"Nível superior",31.78
202004,2020-04-01,2020,"NA",18614,18550,18256,358,"Nível de apoio",1.92
202004,2020-04-01,2020,"NI",286941,258974,189873,97068,"Nível intermediário",33.83
202004,2020-04-01,2020,"NM",2423,2343,1817,606,"Nível médio",25.01
202004,2020-04-01,2020,"NS",428586,373170,291884,136702,"Nível superior",31.9
202005,2020-05-01,2020,"NA",18512,18445,18141,371,"Nível de apoio",2
202005,2020-05-01,2020,"NI",286447,258469,188899,97548,"Nível intermediário",34.05
202005,2020-05-01,2020,"NM",2419,2339,1813,606,"Nível médio",25.05
202005,2020-05-01,2020,"NS",428530,373096,291445,137085,"Nível superior",31.99
202006,2020-06-01,2020,"NA",18446,18382,18073,373,"Nível de apoio",2.02
202006,2020-06-01,2020,"NI",285983,258008,188084,97899,"Nível intermediário",34.23
202006,2020-06-01,2020,"NM",2421,2344,1814,607,"Nível médio",25.07
202006,2020-06-01,2020,"NS",428489,373057,291205,137284,"Nível superior",32.04
202007,2020-07-01,2020,"NA",18373,18307,17994,379,"Nível de apoio",2.06
