"competencia","data","ano","plano_carreira","aprovada","distribuida","ocupada","vago","taxa_vacancia"
202412,2024-12-01,2024,"Carreira de Técnico Administrativo - DNPM",137,6,0,137,100
202412,2024-12-01,2024,"Carreira de Técnico Federal de Apoio à Execução Penal",60,60,60,0,0
202412,2024-12-01,2024,"Carreira de Técnico em Atividades de Mineração",591,144,37,554,93.74
202412,2024-12-01,2024,"Carreira do Seguro Social",44526,42753,19702,24824,55.75
202412,2024-12-01,2024,"Outros",15,15,15,0,0
202412,2024-12-01,2024,"Outros - Carreira de Defensor Público",1242,717,691,551,44.36
202412,2024-12-01,2024,"Outros - Ex-territórios",5544,5310,4822,722,13.02
202412,2024-12-01,2024,"Outros - Ex-territórios (PM e CBM)",5,5,5,0,0
202412,2024-12-01,2024,"Outros - Programa Mais Médicos",4110,4110,4110,0,0
202412,2024-12-01,2024,"Plano Especial de Cargos da ANVISA",253,253,253,0,0
202412,2024-12-01,2024,"Plano Especial de Cargos da Cultura",3569,2167,2027,1542,43.21
202412,2024-12-01,2024,"Plano Especial de Cargos da EMBRATUR",88,88,86,2,2.27
202412,2024-12-01,2024,"Plano Especial de Cargos da FUNAI - PECFUNAI",71,71,71,0,0
202412,2024-12-01,2024,"Plano Especial de Cargos da SUFRAMA",561,560,445,116,20.68
202412,2024-12-01,2024,"Plano Especial de Cargos das Agências Reguladoras",210,210,210,0,0
202412,2024-12-01,2024,"Plano Especial de Cargos do Departamento Nacional de Infra-Estrutura de Transportes",887,885,456,431,48.59
202412,2024-12-01,2024,"Plano Especial de Cargos do Departamento Nacional de Produção Mineral",178,178,178,0,0
202412,2024-12-01,2024,"Plano Especial de Cargos do Departamento de Polícia Federal",2782,2778,1917,865,31.09
202412,2024-12-01,2024,"Plano Especial de Cargos do Departamento de Polícia Rodoviária Federal",729,728,380,349,47.87
202412,2024-12-01,2024,"Plano Especial de Cargos do FNDE - PECFNDE",111,111,110,1,0.9
202412,2024-12-01,2024,"Plano Especial de Cargos do INEP - PECINEP",79,79,49,30,37.97
202412,2024-12-01,2024,"Plano Especial de Cargos do Ministério da Fazenda - PECFAZ",8067,4097,3940,4127,51.16
202412,2024-12-01,2024,"Plano Especial de Cargos do Ministério do Meio Ambiente e do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA - PECMA",191,176,171,20,10.47
202412,2024-12-01,2024,"Plano Geral de Cargos do Poder Executivo - PGPE",38053,28825,16830,21223,55.77
202412,2024-12-01,2024,"Plano de Carreira dos Cargos de Reforma e Desenvolvimento Agrário",5214,2668,1977,3237,62.08
202412,2024-12-01,2024,"Plano de Carreira dos Cargos de Tecnologia Militar",2543,2543,971,1572,61.82
202412,2024-12-01,2024,"Plano de Carreira dos Cargos de Tecnologia Militar / Carreira de Suporte Técnico à Tecnologia Militar",1977,1976,419,1558,78.81
202412,2024-12-01,2024,"Plano de Carreira dos Cargos de Tecnologia Militar / Carreira de Tecnologia Militar",1567,557,131,1436,91.64
202412,2024-12-01,2024,"Plano de Carreiras do Magistério do Ensino Básico Federal / Carreira de Magistério do Ensino Básico Federal",3,3,1,2,66.67
202412,2024-12-01,2024,"Plano de Carreiras dos Cargos Técnico-Administrativos em Educação - PCCTAE",163083,137614,132454,30629,18.78
202412,2024-12-01,2024,"Plano de Carreiras dos órgãos e entidades da Administração Pública Federal Direta, Autárquica e Fundacional, integrantes da área de Ciência e Tecnologia / Carreira de Desenvolvimento Tecnológico",11308,9208,5179,6129,54.2
202412,2024-12-01,2024,"Plano de Carreiras dos órgãos e entidades da Administração Pública Federal Direta, Autárquica e Fundacional, integrantes da área de Ciência e Tecnologia / Carreira de Gestão, Planejamento e Infra-Estrutura em Ciência e Tecnologia",8937,7232,3379,5558,62.19
202412,2024-12-01,2024,"Plano de Carreiras dos órgãos e entidades da Administração Pública Federal Direta, Autárquica e Fundacional, integrantes da área de Ciência e Tecnologia / Carreira de Pesquisa em Ciência e Tecnologia",1832,1553,780,1052,57.42
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Agência Brasileira de Inteligência - ABIN",735,186,157,578,78.64
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Agência Brasileira de Inteligência - ABIN / Carreira de Agente Técnico de Inteligência",229,47,14,215,93.89
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Agência Brasileira de Inteligência - ABIN / Carreira de Agente de Inteligência",937,125,55,882,94.13
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Agência Brasileira de Inteligência - ABIN / Carreira de Oficial Técnico de Inteligência",439,160,108,331,75.4
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Agência Brasileira de Inteligência - ABIN / Carreira de Oficial de Inteligência",2131,829,768,1363,63.96
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Comissão de Valores Mobiliários - CVM",17,17,17,0,0
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Comissão de Valores Mobiliários - CVM / Carreira de Agente Executivo da CVM",189,179,94,95,50.26
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Comissão de Valores Mobiliários - CVM / Carreira de Analista da CVM",259,255,201,58,22.39
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Comissão de Valores Mobiliários - CVM / Carreira de Inspetor da CVM",121,120,90,31,25.62
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE",13,13,13,0,0
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE / Carreira de Pesquisa em Informações Geográficas e Estatísticas",157,157,51,106,67.52
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE / Carreira de Planejamento, Gestão e Infra-Estrutura em Informações Geográficas e Estatísticas",1133,1133,687,446,39.36
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE / Carreira de Produção e Análise de Informações Geográficas e Estatísticas",1130,1129,637,493,43.63
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE / Carreira de Suporte Técnico em Produção e Análise de Informações Geográficas e Estatísticas",6284,6282,2097,4187,66.63
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Fundação Instituto Brasileiro de Geografia e Estatística - IBGE / Carreira de Suporte em Planejamento, Gestão e Infra-Estrutura em Informações Geográficas e Estatísticas",2809,2808,236,2573,91.6
202412,2024-12-01,2024,"Plano de Carreiras e Cargos da Fundação Instituto de Pesquisa Econômica Aplicada - IPEA",497,492,152,345,69.42
