"orgao","entidade","bloco","sigla_orgao","nome_orgao","primeiro","ultimo","meses","aprovada_max","entidade_nome","confianca","evidencia","bloco_nome"
26232,26232,"26232","UFBA","UNIVERSIDADE FEDERAL DA BAHIA",201601,202606,124,6069,"UNIVERSIDADE FEDERAL DA BAHIA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DA BAHIA"
26233,26233,"26233","UFCE","UNIVERSIDADE FEDERAL DO CEARA",201601,202606,124,6498,"UNIVERSIDADE FEDERAL DO CEARA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO CEARA"
26234,26234,"26234","UFES","UNIVERSIDADE FEDERAL DO ESPIRITO SANTO",201601,202606,124,4098,"UNIVERSIDADE FEDERAL DO ESPIRITO SANTO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO ESPIRITO SANTO"
26235,26235,"26235","UFGO","UNIVERSIDADE FEDERAL DE GOIAS",201601,202606,124,5345,"UNIVERSIDADE FEDERAL DE GOIAS","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE GOIAS"
26236,26236,"26236","UFF","UNIVERSIDADE FEDERAL FLUMINENSE",201601,202606,124,7851,"UNIVERSIDADE FEDERAL FLUMINENSE","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL FLUMINENSE"
26237,26237,"26237","UFJF","UNIVERSIDADE FEDERAL DE JUIZ DE FORA",201601,202606,124,3341,"UNIVERSIDADE FEDERAL DE JUIZ DE FORA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE JUIZ DE FORA"
26238,26238,"26238","UFMG","UNIVERSIDADE FEDERAL DE MINAS GERAIS",201601,202606,124,7924,"UNIVERSIDADE FEDERAL DE MINAS GERAIS","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE MINAS GERAIS"
26239,26239,"26239","UFPA","UNIVERSIDADE FEDERAL DO PARA",201601,202606,124,5550,"UNIVERSIDADE FEDERAL DO PARA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO PARA"
26240,26240,"26240","UFPB","UNIVERSIDADE FEDERAL DA PARAIBA",201601,202606,124,6566,"UNIVERSIDADE FEDERAL DA PARAIBA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DA PARAIBA"
26241,26241,"26241","UFPR","UNIVERSIDADE FEDERAL DO PARANA",201601,202606,124,6561,"UNIVERSIDADE FEDERAL DO PARANA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO PARANA"
26242,26242,"26242","UFPE","UNIVERSIDADE FEDERAL DE PERNAMBUCO",201601,202606,124,7015,"UNIVERSIDADE FEDERAL DE PERNAMBUCO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE PERNAMBUCO"
26243,26243,"26243","UFRN","UNIVERSIDADE FED. DO RIO GRANDE DO NORTE",201601,202606,124,5807,"UNIVERSIDADE FED. DO RIO GRANDE DO NORTE","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FED. DO RIO GRANDE DO NORTE"
26244,26244,"26244","UFRGS/RS","UNIVERSIDADE FED. DO RIO GRANDE DO SUL",201601,202606,124,5776,"UNIVERSIDADE FED. DO RIO GRANDE DO SUL","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FED. DO RIO GRANDE DO SUL"
26245,26245,"26245","UFRJ","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO",201601,202606,124,14149,"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO RIO DE JANEIRO"
26246,26246,"26246","UFSC","UNIVERSIDADE FEDERAL DE SANTA CATARINA",201601,202606,124,6017,"UNIVERSIDADE FEDERAL DE SANTA CATARINA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE SANTA CATARINA"
26247,26247,"26247","UFSM/RS","UNIVERSIDADE FEDERAL DE SANTA MARIA",201601,202606,124,4856,"UNIVERSIDADE FEDERAL DE SANTA MARIA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE SANTA MARIA"
26248,26248,"26248","UFRPE","UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO",201601,202606,124,2541,"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO"
26249,26249,"26249","UFRRJ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO",201601,202606,124,2537,"UNIV. FEDERAL RURAL DO RIO DE JANEIRO","estavel","código presente sem troca ao longo da série","UNIV. FEDERAL RURAL DO RIO DE JANEIRO"
26250,26250,"26250","UFRR","UNIVERSIDADE FEDERAL DE RORAIMA",201601,202606,124,1102,"UNIVERSIDADE FEDERAL DE RORAIMA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE RORAIMA"
26251,26251,"26251","FUFT","FUNDACAO UNIVERSIDADE FED. DO TOCANTINS",201601,202606,124,2034,"FUNDACAO UNIVERSIDADE FED. DO TOCANTINS","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE FED. DO TOCANTINS"
26252,26252,"26252","UFCG","UNIVERSIDADE FEDERAL DE CAMPINA GRANDE",201601,202606,124,3209,"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE CAMPINA GRANDE"
26253,26253,"26253","UFRA","UNIVERSIDADE FEDERAL RURAL DA AMAZONIA",201601,202606,124,1233,"UNIVERSIDADE FEDERAL RURAL DA AMAZONIA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL RURAL DA AMAZONIA"
26254,26254,"26254","UFTM","UNIVERSIDADE FED.DO TRIANGULO MINEIRO",201601,202606,124,2268,"UNIVERSIDADE FED.DO TRIANGULO MINEIRO","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FED.DO TRIANGULO MINEIRO"
26255,26255,"26255","UFVJM","UNI.FED.VALES DO JEQUITINHONHA E MUCURI",201601,202606,124,1582,"UNI.FED.VALES DO JEQUITINHONHA E MUCURI","estavel","código presente sem troca ao longo da série","UNI.FED.VALES DO JEQUITINHONHA E MUCURI"
26256,26256,"26256","CEFET/RJ","CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA",201601,202606,124,1690,"CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA","estavel","código presente sem troca ao longo da série","CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA"
26257,26257,"26257","CEFET/MG","CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS",201601,202606,124,1746,"CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS","estavel","código presente sem troca ao longo da série","CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS"
26258,26258,"26258","UTFPR","UNIVERS. TECNOLOGICA FEDERAL DO PARANA",201601,202606,124,3887,"UNIVERS. TECNOLOGICA FEDERAL DO PARANA","estavel","código presente sem troca ao longo da série","UNIVERS. TECNOLOGICA FEDERAL DO PARANA"
